teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
NonDivI-Kean,1,21.0,39.0,52.0,62.0,40.4,62.9,16.0,24.0,32.0,33.0,50.0,72.7,5.0,15.0,20.0,29.0,25.0,51.7,45.2,75.0,12.0,7.0,18.0,10.0,66.7,70.0,8.0,15.0,9.0,27.0,6.0,27.0,6.0,6.0,3.0,3.0,13.0,14.0,8.0,12.0,59.0,100.0
NonDivI-Earlham,1,18.0,37.0,55.0,58.0,32.7,63.8,11.0,24.0,29.0,33.0,37.9,72.7,7.0,13.0,26.0,25.0,26.9,52.0,39.1,75.0,11.0,16.0,13.0,22.0,84.6,72.7,7.0,8.0,14.0,28.0,13.0,20.0,5.0,13.0,1.0,4.0,25.0,14.0,21.0,15.0,54.0,103.0
NonDivI-WesternNewEngland,1,20.0,39.0,61.0,70.0,32.8,55.7,13.0,23.0,30.0,34.0,43.3,67.6,7.0,16.0,31.0,36.0,22.6,44.4,38.5,67.1,5.0,9.0,10.0,11.0,50.0,81.8,5.0,10.0,20.0,33.0,9.0,23.0,6.0,10.0,1.0,3.0,19.0,14.0,16.0,12.0,52.0,103.0
NonDivI-AmericanInternational,1,22.0,25.0,69.0,58.0,31.9,43.1,16.0,18.0,47.0,36.0,34.0,50.0,6.0,7.0,22.0,22.0,27.3,31.8,36.2,49.1,5.0,13.0,86.0,20.0,2.5,65.0,14.0,13.0,24.0,35.0,14.0,16.0,11.0,7.0,4.0,7.0,14.0,18.0,15.0,10.0,55.0,70.0
NonDivI-WilliamJessup,1,22.0,33.0,63.0,69.0,34.9,47.8,16.0,21.0,45.0,48.0,35.6,43.8,6.0,12.0,18.0,21.0,33.3,57.1,39.7,56.5,9.0,11.0,15.0,15.0,60.0,73.3,10.0,16.0,23.0,33.0,11.0,19.0,8.0,8.0,7.0,5.0,15.0,13.0,16.0,18.0,59.0,89.0
NonDivI-MenloCollege,1,20.0,24.0,52.0,58.0,38.5,41.4,12.0,14.0,32.0,29.0,37.5,48.3,8.0,10.0,20.0,29.0,40.0,34.5,46.2,50.0,5.0,9.0,86.0,21.0,2.5,42.9,10.0,11.0,31.0,22.0,12.0,18.0,5.0,9.0,5.0,4.0,20.0,9.0,15.0,12.0,53.0,67.0
NonDivI-FranciscanUniversity,1,23.0,37.0,73.0,75.0,31.5,49.3,16.0,31.0,51.0,56.0,31.4,55.4,7.0,6.0,22.0,19.0,31.8,31.6,36.3,53.3,1.0,20.0,61.0,29.0,6.7,69.0,12.0,21.0,20.0,39.0,14.0,20.0,8.0,10.0,0.0,7.0,21.0,16.0,21.0,9.0,54.0,100.0
NonDivI-HarrisStowe,1,16.0,50.0,51.0,78.0,31.4,64.1,11.0,36.0,35.0,53.0,31.4,67.9,5.0,14.0,16.0,25.0,31.2,56.0,36.3,73.1,17.0,13.0,22.0,16.0,77.3,81.2,11.0,18.0,11.0,28.0,5.0,29.0,3.0,14.0,3.0,7.0,21.0,5.0,13.0,19.0,54.0,127.0
NonDivI-NyackCollege,2,21.5,36.0,65.5,59.5,32.3,60.45,14.5,25.0,40.0,37.0,35.35,68.0,7.0,11.0,25.5,22.5,27.35,48.7,37.6,69.75,7.5,17.0,33.5,23.5,31.25,69.95,13.0,14.0,13.0,31.5,9.5,19.5,5.5,5.5,1.0,5.5,10.5,10.0,17.5,14.0,57.5,100.0
NonDivI-CrownCollege,1,22.0,25.0,60.0,61.0,36.7,41.0,18.0,10.0,38.0,21.0,47.4,47.6,4.0,15.0,22.0,40.0,18.2,37.5,40.0,53.3,5.0,8.0,86.0,12.0,2.5,66.7,12.0,6.0,32.0,27.0,7.0,16.0,3.0,9.0,2.0,4.0,15.0,5.0,16.0,11.0,53.0,73.0
